,Location,Dis No,Lat,Long
733, New York,2003-0741-USA,40.71,-74.01
734, Pennsylvania,2003-0741-USA,40.27,-76.91
735, Rhode Island,2003-0741-USA,41.75,-71.5
736, South Carolina,2003-0741-USA,34,-81
737, Tennessee,2003-0741-USA,35.75,-86.25
739,Denver,2003-0147-USA,39.74,-104.98
742,Pennsylvania,2003-0618-USA,40.27,-76.91
743, Connecticut,2003-0618-USA,41.67,-72.67
744, New York,2003-0618-USA,40.71,-74.01
745, New Jersey,2003-0618-USA,40.17,-74.5
746, Vermont,2003-0618-USA,44,-72.75
747, Virginia,2003-0618-USA,37.55,-77.45
748, Massachusetts,2003-0618-USA,42.37,-71.11
750,Colbert,2003-0210-USA,33.85,-96.5
751, Lauderdale,2003-0210-USA,-42.9,147.48
752, Limestone,2003-0210-USA,46.91,-67.83
753, Madison,2003-0210-USA,43.07,-89.4
754, Jackson,2003-0210-USA,32.3,-90.18
755, Dekalb,2003-0210-USA,41.93,-88.75
756, Lamar,2003-0210-USA,38.09,-102.62
757, Walker,2003-0210-USA,43,-85.77
758,St Clair,2003-0210-USA,-33.8,150.78
759, Talladega,2003-0210-USA,33.44,-86.11
760, Shelby,2003-0210-USA,42.67,-83.03
762, Mississippi,2003-0210-USA,32.75,-89.75
764, White,2003-0210-USA,44.43,-96.65
765, Woodruff,2003-0210-USA,34.74,-82.04
767, Adams,2003-0210-USA,42.62,-73.12
770, Cherokee,2003-0210-USA,42.75,-95.55
771, Franklin,2003-0210-USA,35.93,-86.87
772, Madison,2003-0210-USA,43.07,-89.4
774, Hart,2003-0210-USA,43.7,-86.36
777, Marion,2003-0210-USA,40.59,-83.13
779, Lee,2003-0210-USA,43.12,-71.01
780, Van Buren,2003-0210-USA,35.44,-94.35
781, Jefferson,2003-0210-USA,38.86,-77.19
782, Henry,2003-0210-USA,41.11,-89.36
784, Adams,2003-0210-USA,42.62,-73.12
785, Hancock,2003-0210-USA,47.13,-88.58
788, Henry,2003-0210-USA,41.11,-89.36
